product_key,country,current_price_usd,siamese_fair_price_usd,lightgbm_fair_price_usd,combined_fair_price_usd,siamese_gap_usd,lightgbm_gap_usd,combined_gap_usd,siamese_action,lightgbm_action,combined_action,siamese_confidence,lightgbm_confidence,combined_confidence,model_action_agreement
courtland sutton denver broncos||apparel||men's nike nfl game football jersey||orange||men,US,130.0,,158.5947,158.5947,,-28.5947,-28.5947,,raise_price,raise_price,,0.5003,0.5003,na
nike acg fly||apparel||unstructured cap||photon dust/college grey/black/photon dust||men|women,US,40.0,,68.6691,68.6691,,-28.6691,-28.6691,,raise_price,raise_price,,0.499,0.499,na
ナイキ フォーム||apparel||ウィメンズ ボーイショートパンツ||ピカンテレッド/ミスティックレッド||women,JP,42.746,,71.5478,71.5478,,-28.8018,-28.8018,,raise_price,raise_price,,0.4967,0.4967,na
nike slam||apparel||women's dri-fit tennis t-shirt||light thistle||women,SI,38.1391,,66.6311,66.6311,,-28.492,-28.492,,raise_price,raise_price,,0.5021,0.5021,na
france||apparel||2025/2026 nike club cap||obsidian/bleached coral||men|women,FI,32.6891,,61.4503,61.4503,,-28.7612,-28.7612,,raise_price,raise_price,,0.4974,0.4974,na
inter milan strike third||apparel||men's nike dri-fit total 90 football anthem jacket||black/thunder blue/safety orange||men,FI,152.5891,,123.926,123.926,,28.6631,28.6631,,lower_price,lower_price,,0.4991,0.4991,na
baltimore ravens salute to service sideline||apparel||women's nike dri-fit nfl long-sleeve t-shirt||olive||women,US,55.0,,83.543,83.543,,-28.543,-28.543,,raise_price,raise_price,,0.5012,0.5012,na
cleveland browns salute to service sideline||apparel||women's nike dri-fit nfl long-sleeve t-shirt||olive||women,US,55.0,,83.543,83.543,,-28.543,-28.543,,raise_price,raise_price,,0.5012,0.5012,na
kansas city chiefs salute to service sideline||apparel||women's nike dri-fit nfl long-sleeve t-shirt||olive||women,US,55.0,,83.543,83.543,,-28.543,-28.543,,raise_price,raise_price,,0.5012,0.5012,na
barcelona||equipment||2025/2026 nike academy ball||deep royal blue/noble red/amarillo||men|women,FI,32.6891,,61.3694,61.3694,,-28.6803,-28.6803,,raise_price,raise_price,,0.4988,0.4988,na
chelsea||equipment||2025/2026 nike academy ball||game royal/rush blue/white||men|women,FI,32.6891,,61.3694,61.3694,,-28.6803,-28.6803,,raise_price,raise_price,,0.4988,0.4988,na
nike academy 'vini jr.'||equipment||football||sunset pulse/old royal/old royal||men|women,FI,32.6891,,61.4327,61.4327,,-28.7436,-28.7436,,raise_price,raise_price,,0.4977,0.4977,na
ナイキ acg ファサード||footwear||メンズシューズ||バロックブラウン/ブラック/カーキ/バロックブラウン||men|women,JP,125.29,,153.9128,153.9128,,-28.6228,-28.6228,,raise_price,raise_price,,0.4998,0.4998,na
nike sportswear||apparel||women's woven printed pants||black/black||women,US,75.0,,103.6399,103.6399,,-28.6399,-28.6399,,raise_price,raise_price,,0.4995,0.4995,na
nike sportswear||apparel||women's jacket||jade horizon||women,FI,65.3891,,94.2427,94.2427,,-28.8536,-28.8536,,raise_price,raise_price,,0.4958,0.4958,na
nike flex experience run 12||footwear||men's road running shoes||black/anthracite||men,US,75.0,,103.7665,103.7665,,-28.7665,-28.7665,,raise_price,raise_price,,0.4973,0.4973,na
baltimore ravens sideline team issue||apparel||men's nike dri-fit nfl long-sleeve t-shirt||purple||men,US,45.0,,73.6111,73.6111,,-28.6111,-28.6111,,raise_price,raise_price,,0.5,0.5,na
air jordan||apparel||women's long-sleeve woven top||dark smoke grey||women,FI,130.7891,,102.4221,102.4221,,28.367,28.367,,lower_price,lower_price,,0.5043,0.5043,na
jordan||apparel||men's draft trousers||old royal/black/yellow pulse||men,SI,130.7891,,102.1667,102.1667,,28.6224,28.6224,,lower_price,lower_price,,0.4998,0.4998,na
nike sportswear tech woven||apparel||older kids' (boys') full-zip top||black/black||boys,FI,119.8891,,91.2323,91.2323,,28.6568,28.6568,,lower_price,lower_price,,0.4992,0.4992,na
nike (m) one||apparel||women's dri-fit high-waisted 20.5cm (approx.) biker shorts with pockets (maternity)||black/white||women,SI,38.1391,,66.9633,66.9633,,-28.8242,-28.8242,,raise_price,raise_price,,0.4963,0.4963,na
texas longhorns||apparel||men's nike college limited baseball jersey||burnt orange||men,US,135.0,,106.6331,106.6331,,28.3669,28.3669,,lower_price,lower_price,,0.5043,0.5043,na
jordan||apparel||men's graphic shirt||off noir/infrared 23||men,US,45.0,,73.8648,73.8648,,-28.8648,-28.8648,,raise_price,raise_price,,0.4956,0.4956,na
nike sportswear||apparel||women's slim retro polo top||picante red/white/sail||women,SI,49.0391,,77.6327,77.6327,,-28.5936,-28.5936,,raise_price,raise_price,,0.5003,0.5003,na
ナイキ gp チャレンジ 1.5||footwear||メンズ ハードコート テニスシューズ||ホワイト/ピュアプラチナム/ライトクリムゾン||men,JP,156.981,,128.3072,128.3072,,28.6738,28.6738,,lower_price,lower_price,,0.4989,0.4989,na
minnesota vikings alt legend small logo||apparel||men's nike dri-fit nfl long-sleeve t-shirt||purple||men,US,45.0,,73.8066,73.8066,,-28.8066,-28.8066,,raise_price,raise_price,,0.4966,0.4966,na
chicago cubs authentic collection||apparel||men’s nike therma mlb full-zip jacket||red||men,US,135.0,,106.3607,106.3607,,28.6393,28.6393,,lower_price,lower_price,,0.4995,0.4995,na
kobe ix low em||footwear||older kids' basketball shoes||thunder blue/laser orange/daybreak||boys|girls,FI,130.7891,,102.0866,102.0866,,28.7025,28.7025,,lower_price,lower_price,,0.4984,0.4984,na
nike air max nuaxis||footwear||women's shoes||white/pure platinum/metallic silver/white||women,SI,108.9891,,137.8072,137.8072,,-28.8181,-28.8181,,raise_price,raise_price,,0.4964,0.4964,na
nike cortez||footwear||women's shoes||ashen slate/sail/gum light brown/football grey||women,SI,108.9891,,137.8072,137.8072,,-28.8181,-28.8181,,raise_price,raise_price,,0.4964,0.4964,na
ナイキ acg ウルトラフライ トレイル||footwear||トレイル レーシングシューズ||セイル/ホワイト/セーフティオレンジ/ブラック||men|women,JP,241.736,,213.0048,213.0048,,28.7312,28.7312,,lower_price,lower_price,,0.4979,0.4979,na
ナイキ ペガサス 39||footwear||メンズ ロード ランニングシューズ||ファントム/セイル/ミントフォーム/ブラック||men,JP,110.55,,139.3622,139.3622,,-28.8122,-28.8122,,raise_price,raise_price,,0.4965,0.4965,na
netherlands||apparel||2025/2026 nike club cap||obsidian/safety orange||men|women,FI,32.6891,,61.5303,61.5303,,-28.8412,-28.8412,,raise_price,raise_price,,0.496,0.496,na
nike sportswear||apparel||women's slim short-sleeve graphic t-shirt||black||women,FI,32.6891,,61.2767,61.2767,,-28.5876,-28.5876,,raise_price,raise_price,,0.5004,0.5004,na
jordan brooklyn fleece||apparel||men's graphic shorts||sail/dark grey||men,SI,54.4891,,83.1453,83.1453,,-28.6562,-28.6562,,raise_price,raise_price,,0.4992,0.4992,na
baylor||apparel||men's nike college football replica jersey||gorge green||men,US,130.0,,101.2054,101.2054,,28.7946,28.7946,,lower_price,lower_price,,0.4968,0.4968,na
nike||apparel||men's therma-fit fleece joggers||black||men,SI,76.2891,,47.6388,47.6388,,28.6503,28.6503,,lower_price,lower_price,,0.4993,0.4993,na
nike tech||apparel||men's woven cargo shorts||hydrangeas/black||men,US,115.0,,86.3095,86.3095,,28.6905,28.6905,,lower_price,lower_price,,0.4986,0.4986,na
